,ASIANPAINT,EICHERMOT,HEROMOTOCO,TATAMOTORS,APOLLOHOSP,SBIN,M&M,BEL,JSWSTEEL,ICICIBANK,INDUSINDBK,ONGC,BAJAJ-AUTO,BRITANNIA,NESTLEIND,HINDALCO,RELIANCE,TRENT,TATASTEEL,DRREDDY,SHRIRAMFIN,KOTAKBANK,HDFCBANK,AXISBANK,NTPC,TECHM,SBILIFE,CIPLA,GRASIM,HINDUNILVR,LT,TATACONSUM,WIPRO,TITAN,BPCL,INFY,SUNPHARMA,TCS,MARUTI,HCLTECH,COALINDIA,ULTRACEMCO,GOLDIETF
0,2498.2,5690.0,4332.1,692.3,7484.5,811.6,3177.5,418.65,1036.5,1433.3,850.8,244.22,8361.0,5848.5,2434.1,673.5,1548.0,5421.5,158.16,1272.2,682.0,2220.9,2012.6,1167.0,344.9,1617.0,1814.6,1494.0,2805.5,2431.0,3579.6,1100.5,266.9,3443.1,351.7,1629.5,1676.8,3374.6,12466.0,1677.0,385.9,12478.0,82.74
0,2498.0,5690.0,4331.9,692.3,7485.5,811.55,3178.2,418.65,1036.5,1433.3,850.85,244.31,8363.5,5847.0,2433.4,673.5,1548.0,5421.0,158.16,1272.4,682.05,2220.9,2012.0,1167.1,344.9,1617.4,1815.0,1494.3,2806.9,2431.1,3580.5,1100.5,267.0,3443.6,351.7,1629.4,1677.0,3374.5,12468.0,1677.0,385.8,12479.0,82.74
0,2497.0,5689.0,4332.0,692.3,7484.5,811.35,3177.9,418.6,1035.8,1433.1,850.9,244.36,8360.5,5847.0,2433.8,673.5,1548.2,5422.0,158.14,1271.9,682.15,2220.5,2012.2,1167.0,345.0,1617.2,1814.2,1494.1,2806.7,2431.2,3579.4,1100.5,266.95,3443.9,351.75,1629.3,1676.5,3374.0,12469.0,1676.4,385.85,12478.0,82.74
0,2496.6,5689.0,4332.0,692.3,7485.0,811.4,3178.2,418.6,1035.0,1433.3,850.95,244.26,8363.5,5847.0,2433.8,673.2,1548.4,5423.0,158.09,1272.3,681.7,2220.5,2012.2,1167.1,345.05,1617.2,1813.8,1493.9,2806.8,2431.1,3581.2,1100.4,266.8,3443.9,351.75,1629.8,1676.5,3374.0,12470.0,1676.5,385.85,12474.0,82.74
0,2496.4,5690.0,4331.8,692.3,7485.5,811.55,3178.5,418.6,1035.5,1433.3,850.85,244.2,8361.5,5847.0,2433.3,673.2,1548.5,5423.5,158.1,1271.8,681.65,2221.0,2012.4,1167.2,344.95,1616.8,1814.1,1493.9,2804.5,2431.0,3579.8,1100.5,266.8,3443.5,351.75,1630.1,1676.9,3374.0,12473.0,1676.3,385.85,12478.0,82.74
0,2498.5,5690.0,4331.6,692.3,7485.5,811.5,3179.0,418.6,1035.1,1433.3,850.8,244.28,8361.5,5848.5,2433.8,673.05,1548.8,5424.0,158.12,1271.9,681.85,2221.0,2012.0,1167.0,345.0,1617.4,1813.8,1493.8,2805.3,2431.3,3580.0,1100.5,266.75,3442.9,351.75,1630.1,1676.5,3374.3,12468.0,1676.7,385.85,12480.0,82.74
0,2498.3,5689.5,4332.5,692.3,7485.5,811.45,3179.1,418.6,1035.4,1433.0,850.8,244.2,8363.0,5847.0,2433.3,673.2,1548.9,5426.0,158.13,1271.7,681.9,2220.9,2012.5,1167.2,344.9,1617.4,1813.9,1493.6,2804.2,2431.3,3579.5,1100.9,266.85,3442.9,351.75,1630.1,1676.5,3374.2,12468.0,1676.3,385.85,12479.0,82.76
0,2497.7,5689.5,4332.5,692.25,7485.5,811.45,3178.2,418.65,1035.4,1432.8,850.8,244.22,8361.5,5846.0,2433.3,673.85,1548.8,5425.0,158.13,1271.8,681.9,2221.0,2012.6,1167.0,344.95,1616.5,1813.4,1494.0,2807.2,2431.3,3579.8,1100.5,266.95,3443.0,351.6,1630.1,1676.8,3374.5,12467.0,1676.2,385.8,12479.0,82.76
0,2498.5,5690.0,4332.3,692.25,7486.0,811.45,3178.0,418.6,1035.4,1432.7,850.75,244.04,8363.0,5846.5,2433.8,673.6,1548.8,5426.0,158.09,1271.4,681.9,2221.0,2012.6,1167.1,344.9,1616.7,1814.3,1493.6,2807.0,2431.5,3581.7,1100.5,266.9,3442.9,351.6,1630.0,1676.8,3374.8,12470.0,1676.5,385.8,12479.0,82.76
0,2497.5,5689.5,4333.6,692.25,7485.5,811.55,3177.9,418.7,1035.0,1432.7,850.7,244.1,8361.5,5846.0,2433.3,673.7,1549.0,5426.0,158.08,1271.8,682.05,2220.2,2012.6,1167.1,344.95,1616.7,1813.3,1493.6,2805.7,2431.6,3581.6,1100.1,266.9,3443.0,351.6,1630.1,1676.8,3375.0,12470.0,1676.7,385.95,12479.0,82.75
0,2498.8,5690.0,4332.6,692.25,7486.0,811.55,3177.0,418.65,1035.5,1432.5,850.7,243.98,8361.5,5845.5,2433.3,673.9,1549.0,5422.5,158.15,1271.7,682.0,2221.0,2012.4,1167.0,345.0,1616.4,1814.2,1493.2,2805.4,2431.7,3581.7,1100.4,266.9,3443.2,351.6,1630.0,1676.5,3374.8,12470.0,1676.7,385.85,12480.0,82.76
0,2497.9,5690.0,4332.4,692.25,7485.5,811.45,3175.7,418.65,1035.3,1432.3,850.6,244.04,8361.5,5844.0,2433.4,673.8,1549.0,5423.0,158.12,1271.8,681.9,2220.9,2012.5,1167.0,344.95,1616.7,1814.3,1493.7,2806.2,2431.7,3581.5,1100.4,266.9,3443.3,351.75,1629.9,1676.5,3374.7,12468.0,1676.7,385.85,12476.0,82.76
0,2497.4,5690.0,4332.1,692.25,7485.5,811.5,3174.4,418.7,1035.0,1432.3,850.5,244.07,8361.5,5846.5,2433.3,673.75,1549.1,5423.5,158.02,1271.8,681.7,2220.8,2012.5,1167.1,344.95,1616.3,1814.1,1493.5,2804.6,2432.0,3580.2,1100.0,266.9,3442.0,351.55,1630.0,1676.1,3374.5,12466.0,1676.6,386.0,12475.0,82.76
0,2498.0,5690.0,4331.9,692.3,7485.0,811.55,3175.2,418.7,1035.3,1432.2,850.3,244.02,8362.0,5847.0,2433.3,673.95,1549.2,5424.5,158.0,1271.5,681.85,2220.8,2012.7,1167.2,344.95,1617.0,1813.3,1493.9,2805.7,2432.6,3581.2,1100.4,266.95,3443.0,351.5,1629.6,1676.4,3376.0,12468.0,1676.6,385.85,12477.0,82.77
0,2497.8,5689.0,4331.3,692.3,7486.0,811.5,3174.4,418.6,1035.1,1432.1,850.35,244.0,8363.0,5848.0,2433.3,673.75,1549.2,5424.0,158.0,1271.6,681.85,2220.9,2012.5,1167.1,344.95,1616.2,1813.5,1493.3,2807.2,2432.2,3580.0,1100.4,266.85,3443.1,351.5,1629.4,1676.0,3373.2,12469.0,1676.6,385.85,12479.0,82.76
0,2497.5,5688.5,4331.8,692.3,7484.5,811.65,3174.6,418.6,1035.3,1432.2,850.2,244.02,8362.5,5847.0,2433.3,674.25,1549.2,5423.0,158.03,1271.5,681.9,2220.2,2012.3,1167.1,344.85,1616.2,1813.3,1493.2,2805.3,2432.2,3580.5,1100.4,266.75,3442.9,351.5,1630.0,1675.7,3374.8,12468.0,1676.6,385.85,12474.0,82.74
0,2498.1,5689.0,4331.6,692.3,7484.5,811.55,3173.3,418.55,1035.0,1432.1,850.2,244.02,8363.5,5845.0,2433.3,674.2,1549.3,5422.0,158.02,1271.7,681.85,2220.8,2012.3,1167.2,344.85,1616.8,1813.9,1493.9,2806.3,2432.2,3580.1,1100.5,266.85,3442.9,351.5,1629.5,1675.7,3374.0,12468.0,1676.6,385.85,12476.0,82.74
