,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2021-01-01T00:00:00,620.25,625.45,617.55,623.8,6047062,AXISBANK,5900
1,2021-01-04T00:00:00,627.8,633.0,621.3,624.7,14068156,AXISBANK,5900
2,2021-01-05T00:00:00,618.0,667.9,618.0,664.45,37973963,AXISBANK,5900
3,2021-01-06T00:00:00,662.0,667.15,649.15,654.25,20829645,AXISBANK,5900
4,2021-01-07T00:00:00,659.0,676.5,659.0,671.1,17887570,AXISBANK,5900
5,2021-01-08T00:00:00,678.0,678.85,668.5,672.7,12272794,AXISBANK,5900
6,2021-01-11T00:00:00,676.0,676.65,660.15,666.95,7928365,AXISBANK,5900
7,2021-01-12T00:00:00,661.3,685.0,659.25,675.7,13301893,AXISBANK,5900
8,2021-01-13T00:00:00,676.0,691.2,669.05,687.8,15645903,AXISBANK,5900
9,2021-01-14T00:00:00,678.5,687.8,674.65,676.0,9337503,AXISBANK,5900
10,2021-01-15T00:00:00,677.6,682.95,669.6,674.85,12339771,AXISBANK,5900
11,2021-01-18T00:00:00,674.45,675.0,651.15,657.0,13460603,AXISBANK,5900
12,2021-01-19T00:00:00,663.55,671.95,659.75,668.75,9010539,AXISBANK,5900
13,2021-01-20T00:00:00,664.0,680.95,664.0,675.75,9980614,AXISBANK,5900
14,2021-01-21T00:00:00,680.75,695.0,669.75,675.85,15849438,AXISBANK,5900
15,2021-01-22T00:00:00,670.0,673.9,638.8,644.5,21392223,AXISBANK,5900
16,2021-01-25T00:00:00,654.0,668.0,639.35,658.4,21325345,AXISBANK,5900
17,2021-01-27T00:00:00,659.95,663.8,627.4,632.1,24462588,AXISBANK,5900
18,2021-01-28T00:00:00,622.0,674.7,616.0,670.7,64303975,AXISBANK,5900
19,2021-01-29T00:00:00,671.0,675.85,653.0,662.9,31273252,AXISBANK,5900
20,2021-02-01T00:00:00,665.0,717.0,654.35,709.35,30648270,AXISBANK,5900
21,2021-02-02T00:00:00,719.25,744.95,704.2,714.2,28703320,AXISBANK,5900
22,2021-02-03T00:00:00,720.0,736.8,715.55,733.8,23541361,AXISBANK,5900
23,2021-02-04T00:00:00,730.0,745.5,720.6,743.9,20490289,AXISBANK,5900
24,2021-02-05T00:00:00,749.0,766.3,717.0,719.6,31121503,AXISBANK,5900
25,2021-02-08T00:00:00,726.0,747.8,726.0,736.15,15662890,AXISBANK,5900
26,2021-02-09T00:00:00,735.75,750.0,726.2,742.5,22307807,AXISBANK,5900
27,2021-02-10T00:00:00,741.55,746.4,726.1,734.8,15140744,AXISBANK,5900
28,2021-02-11T00:00:00,731.0,744.15,731.0,740.1,11897710,AXISBANK,5900
29,2021-02-12T00:00:00,735.5,754.7,734.55,750.4,15668442,AXISBANK,5900
30,2021-02-15T00:00:00,759.9,799.0,753.9,794.0,20648115,AXISBANK,5900
31,2021-02-16T00:00:00,799.0,799.0,767.0,775.05,23968943,AXISBANK,5900
