,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2021-01-01T00:00:00,725.0,744.75,723.0,732.45,9543128,M&M,2031
1,2021-01-04T00:00:00,735.0,751.0,727.25,749.1,4547027,M&M,2031
2,2021-01-05T00:00:00,748.0,748.0,730.0,740.1,3551554,M&M,2031
3,2021-01-06T00:00:00,741.0,746.45,730.45,736.1,3601608,M&M,2031
4,2021-01-07T00:00:00,743.0,755.0,740.1,744.4,4063641,M&M,2031
5,2021-01-08T00:00:00,750.0,772.8,745.0,770.5,5998381,M&M,2031
6,2021-01-11T00:00:00,773.05,791.4,763.2,789.1,6643610,M&M,2031
7,2021-01-12T00:00:00,789.95,796.75,777.4,779.85,5532160,M&M,2031
8,2021-01-13T00:00:00,784.6,837.5,782.25,828.35,19610461,M&M,2031
9,2021-01-14T00:00:00,828.9,843.85,827.35,829.9,8576718,M&M,2031
10,2021-01-15T00:00:00,828.0,838.0,815.35,819.65,4996951,M&M,2031
11,2021-01-18T00:00:00,817.9,820.8,797.15,809.0,3955069,M&M,2031
12,2021-01-19T00:00:00,810.0,819.6,801.55,808.05,3991167,M&M,2031
13,2021-01-20T00:00:00,807.0,831.95,802.0,824.5,4502291,M&M,2031
14,2021-01-21T00:00:00,823.0,835.0,800.3,808.25,4455107,M&M,2031
15,2021-01-22T00:00:00,808.0,826.7,795.0,798.4,5588252,M&M,2031
16,2021-01-25T00:00:00,802.1,812.95,784.25,794.55,3353172,M&M,2031
17,2021-01-27T00:00:00,797.0,817.0,763.4,769.95,6585102,M&M,2031
18,2021-01-28T00:00:00,758.0,778.1,756.1,765.0,4622634,M&M,2031
19,2021-01-29T00:00:00,772.55,799.95,746.0,749.6,8761073,M&M,2031
20,2021-02-01T00:00:00,753.0,808.85,741.55,795.15,6592083,M&M,2031
21,2021-02-02T00:00:00,810.0,837.4,802.6,816.85,5334431,M&M,2031
22,2021-02-03T00:00:00,821.0,858.9,818.0,833.2,8802838,M&M,2031
23,2021-02-04T00:00:00,835.0,893.55,835.0,866.5,14706560,M&M,2031
24,2021-02-05T00:00:00,879.9,881.7,841.2,865.5,15668083,M&M,2031
25,2021-02-08T00:00:00,891.0,952.05,891.0,928.4,21179625,M&M,2031
26,2021-02-09T00:00:00,929.5,939.0,885.2,895.0,9210613,M&M,2031
27,2021-02-10T00:00:00,899.0,917.0,886.1,914.15,6465767,M&M,2031
28,2021-02-11T00:00:00,916.45,920.05,902.35,914.2,3640848,M&M,2031
29,2021-02-12T00:00:00,916.0,918.55,905.0,908.55,2484145,M&M,2031
30,2021-02-15T00:00:00,910.9,920.0,898.25,911.85,4178613,M&M,2031
31,2021-02-16T00:00:00,915.0,921.75,902.1,912.2,4223635,M&M,2031
32,2021-02-17T00:00:00,905.0,920.15,904.6,914.95,3903522,M&M,2031
33,2021-02-18T00:00:00,914.95,914.95,891.65,894.45,4616205,M&M,2031
34,2021-02-19T00:00:00,890.0,905.65,862.85,879.25,5171996,M&M,2031
35,2021-02-22T00:00:00,880.0,882.5,833.1,837.1,5960870,M&M,2031
36,2021-02-23T00:00:00,842.1,856.95,819.1,840.95,7348084,M&M,2031
37,2021-02-24T00:00:00,841.1,855.9,840.0,849.6,3184114,M&M,2031
38,2021-02-25T00:00:00,853.1,866.6,842.05,859.0,6134649,M&M,2031
39,2021-02-26T00:00:00,848.05,856.65,798.5,806.4,12073749,M&M,2031
40,2021-03-01T00:00:00,821.0,852.7,816.2,819.45,9223619,M&M,2031
41,2021-03-02T00:00:00,832.95,868.0,820.05,860.05,9706013,M&M,2031
42,2021-03-03T00:00:00,866.95,868.0,847.05,852.05,5028771,M&M,2031
43,2021-03-04T00:00:00,841.85,858.3,834.8,845.25,4574138,M&M,2031
44,2021-03-05T00:00:00,840.0,860.75,838.35,840.4,5179108,M&M,2031
45,2021-03-08T00:00:00,847.95,857.35,840.0,851.0,3474579,M&M,2031
46,2021-03-09T00:00:00,853.0,865.7,842.0,852.0,3536262,M&M,2031
47,2021-03-10T00:00:00,856.4,875.0,849.0,863.8,3971353,M&M,2031
48,2021-03-12T00:00:00,869.5,876.2,844.15,855.8,4012449,M&M,2031
49,2021-03-15T00:00:00,862.0,862.0,824.0,844.4,3069343,M&M,2031
50,2021-03-16T00:00:00,852.0,856.5,840.0,842.85,2996797,M&M,2031
51,2021-03-17T00:00:00,847.6,851.35,833.7,836.95,2034583,M&M,2031
52,2021-03-18T00:00:00,842.0,860.55,834.0,845.65,5033325,M&M,2031
53,2021-03-19T00:00:00,839.95,860.0,820.55,850.3,7538327,M&M,2031
54,2021-03-22T00:00:00,849.8,859.35,832.15,853.05,2906300,M&M,2031
55,2021-03-23T00:00:00,859.95,865.0,841.5,844.65,3925212,M&M,2031
56,2021-03-24T00:00:00,836.25,845.0,808.6,811.4,4066262,M&M,2031
57,2021-03-25T00:00:00,811.8,814.0,788.1,791.7,4501404,M&M,2031
58,2021-03-26T00:00:00,799.85,814.65,792.15,799.35,4170972,M&M,2031
59,2021-03-30T00:00:00,805.55,805.55,783.0,795.0,5671140,M&M,2031
60,2021-03-31T00:00:00,795.1,805.75,790.1,795.25,3972382,M&M,2031
61,2021-04-01T00:00:00,801.5,809.8,779.75,807.6,5678798,M&M,2031
62,2021-04-05T00:00:00,808.3,808.8,769.25,774.45,4176802,M&M,2031
63,2021-04-06T00:00:00,784.0,791.6,775.0,781.1,2984229,M&M,2031
