,Datetime,Open,High,Low,Close,Volume,ScripName,ScripCode
0,2021-01-01T00:00:00,387.25,391.5,384.6,389.7,4461761,JSWSTEEL,11723
1,2021-01-04T00:00:00,392.0,405.1,391.1,403.1,8872723,JSWSTEEL,11723
2,2021-01-05T00:00:00,400.0,401.0,391.6,395.25,6190435,JSWSTEEL,11723
3,2021-01-06T00:00:00,397.2,407.35,395.75,401.7,7910567,JSWSTEEL,11723
4,2021-01-07T00:00:00,404.0,413.1,403.15,405.4,10231006,JSWSTEEL,11723
5,2021-01-08T00:00:00,410.3,410.45,398.5,402.85,7559664,JSWSTEEL,11723
6,2021-01-11T00:00:00,402.85,404.95,392.65,399.05,4822618,JSWSTEEL,11723
7,2021-01-12T00:00:00,398.95,412.95,397.05,399.55,6708618,JSWSTEEL,11723
8,2021-01-13T00:00:00,401.55,407.4,394.15,402.95,6885599,JSWSTEEL,11723
9,2021-01-14T00:00:00,404.35,405.65,394.0,396.4,4886430,JSWSTEEL,11723
10,2021-01-15T00:00:00,398.0,402.55,391.2,394.2,7329969,JSWSTEEL,11723
11,2021-01-18T00:00:00,393.5,394.0,375.5,383.1,10605461,JSWSTEEL,11723
12,2021-01-19T00:00:00,386.2,397.75,381.6,395.4,5842513,JSWSTEEL,11723
13,2021-01-20T00:00:00,395.0,402.9,393.45,400.9,5604951,JSWSTEEL,11723
14,2021-01-21T00:00:00,402.5,405.0,388.95,393.3,7085945,JSWSTEEL,11723
15,2021-01-22T00:00:00,396.0,397.45,372.2,375.4,8779405,JSWSTEEL,11723
16,2021-01-25T00:00:00,388.0,394.95,371.45,382.45,17874949,JSWSTEEL,11723
17,2021-01-27T00:00:00,380.6,382.0,371.55,376.25,8576326,JSWSTEEL,11723
18,2021-01-28T00:00:00,371.0,380.85,369.6,376.3,6969457,JSWSTEEL,11723
19,2021-01-29T00:00:00,382.05,382.55,363.2,366.85,7981367,JSWSTEEL,11723
20,2021-02-01T00:00:00,366.5,384.4,363.65,380.85,6141212,JSWSTEEL,11723
21,2021-02-02T00:00:00,384.65,391.7,376.7,389.0,7450391,JSWSTEEL,11723
22,2021-02-03T00:00:00,386.2,398.45,384.7,392.9,6063017,JSWSTEEL,11723
23,2021-02-04T00:00:00,392.9,402.0,390.45,400.3,6283280,JSWSTEEL,11723
24,2021-02-05T00:00:00,403.0,406.6,389.15,402.2,9008833,JSWSTEEL,11723
25,2021-02-08T00:00:00,404.55,419.25,401.2,417.65,9008722,JSWSTEEL,11723
26,2021-02-09T00:00:00,417.0,420.0,401.85,406.45,7961747,JSWSTEEL,11723
27,2021-02-10T00:00:00,410.0,413.95,400.0,410.75,8008124,JSWSTEEL,11723
28,2021-02-11T00:00:00,408.2,415.5,404.95,408.85,3598146,JSWSTEEL,11723
29,2021-02-12T00:00:00,407.85,410.9,402.6,403.8,4667663,JSWSTEEL,11723
30,2021-02-15T00:00:00,405.1,407.85,401.0,403.7,4678133,JSWSTEEL,11723
31,2021-02-16T00:00:00,403.7,421.9,403.7,407.65,10594928,JSWSTEEL,11723
32,2021-02-17T00:00:00,406.35,411.0,401.0,408.7,5486323,JSWSTEEL,11723
33,2021-02-18T00:00:00,410.0,414.75,406.0,407.65,5889983,JSWSTEEL,11723
34,2021-02-19T00:00:00,408.1,408.4,390.95,395.65,4527644,JSWSTEEL,11723
35,2021-02-22T00:00:00,396.15,413.85,396.15,406.1,9371697,JSWSTEEL,11723
36,2021-02-23T00:00:00,410.0,416.2,406.1,412.6,8127742,JSWSTEEL,11723
37,2021-02-24T00:00:00,415.0,426.6,400.0,408.1,10570509,JSWSTEEL,11723
38,2021-02-25T00:00:00,411.0,425.0,410.0,421.75,9051315,JSWSTEEL,11723
39,2021-02-26T00:00:00,412.05,421.3,392.05,395.45,11433748,JSWSTEEL,11723
40,2021-03-01T00:00:00,402.6,408.45,393.35,405.1,5834233,JSWSTEEL,11723
41,2021-03-02T00:00:00,406.8,414.95,401.0,413.3,5055665,JSWSTEEL,11723
42,2021-03-03T00:00:00,415.3,435.0,415.3,428.15,11903775,JSWSTEEL,11723
43,2021-03-04T00:00:00,415.1,421.4,411.05,414.1,8655068,JSWSTEEL,11723
44,2021-03-05T00:00:00,414.1,414.1,402.5,406.4,7045618,JSWSTEEL,11723
45,2021-03-08T00:00:00,411.95,415.5,406.5,407.85,4176709,JSWSTEEL,11723
46,2021-03-09T00:00:00,412.0,414.75,396.8,401.6,5477847,JSWSTEEL,11723
47,2021-03-10T00:00:00,406.55,415.3,403.5,414.0,6536253,JSWSTEEL,11723
48,2021-03-12T00:00:00,418.15,428.45,414.0,418.75,13448994,JSWSTEEL,11723
49,2021-03-15T00:00:00,422.9,431.75,414.9,429.65,10146579,JSWSTEEL,11723
50,2021-03-16T00:00:00,433.95,433.95,419.35,425.95,8103798,JSWSTEEL,11723
51,2021-03-17T00:00:00,425.95,425.95,417.5,422.5,4738590,JSWSTEEL,11723
52,2021-03-18T00:00:00,427.0,432.65,420.1,423.15,6837030,JSWSTEEL,11723
53,2021-03-19T00:00:00,420.1,446.3,410.0,440.55,11116495,JSWSTEEL,11723
54,2021-03-22T00:00:00,441.0,449.0,436.8,445.3,7010923,JSWSTEEL,11723
55,2021-03-23T00:00:00,445.0,447.25,439.5,441.8,5066287,JSWSTEEL,11723
56,2021-03-24T00:00:00,437.0,443.15,431.6,437.35,7803892,JSWSTEEL,11723
57,2021-03-25T00:00:00,437.05,442.2,428.5,438.0,10870751,JSWSTEEL,11723
58,2021-03-26T00:00:00,443.6,452.25,436.2,445.2,12165673,JSWSTEEL,11723
59,2021-03-30T00:00:00,455.0,470.2,452.2,467.45,17646211,JSWSTEEL,11723
60,2021-03-31T00:00:00,467.35,473.8,461.3,468.45,7635784,JSWSTEEL,11723
61,2021-04-01T00:00:00,470.55,512.95,470.0,508.75,35736230,JSWSTEEL,11723
62,2021-04-05T00:00:00,513.5,522.0,503.2,517.5,29711225,JSWSTEEL,11723
63,2021-04-06T00:00:00,523.0,541.3,520.65,537.45,26533367,JSWSTEEL,11723
64,2021-04-07T00:00:00,539.25,566.45,533.2,562.3,20024702,JSWSTEEL,11723
65,2021-04-08T00:00:00,572.0,639.0,563.25,614.1,72006147,JSWSTEEL,11723
66,2021-04-09T00:00:00,618.0,630.85,598.0,621.0,51062079,JSWSTEEL,11723
67,2021-04-12T00:00:00,609.0,621.75,597.4,604.15,27047004,JSWSTEEL,11723
68,2021-04-13T00:00:00,607.0,632.8,604.0,630.35,26091257,JSWSTEEL,11723
69,2021-04-15T00:00:00,638.0,644.0,616.0,629.1,24006650,JSWSTEEL,11723
70,2021-04-16T00:00:00,631.9,635.9,616.95,619.4,14389029,JSWSTEEL,11723
71,2021-04-19T00:00:00,600.0,625.5,595.1,615.8,17044636,JSWSTEEL,11723
72,2021-04-20T00:00:00,622.8,630.0,613.4,620.6,13626064,JSWSTEEL,11723
73,2021-04-22T00:00:00,615.7,651.0,611.6,640.75,22859059,JSWSTEEL,11723
74,2021-04-23T00:00:00,641.0,652.8,625.85,635.4,17931094,JSWSTEEL,11723
75,2021-04-26T00:00:00,642.0,660.7,638.25,655.8,16506538,JSWSTEEL,11723
76,2021-04-27T00:00:00,660.65,670.35,658.0,665.9,15799458,JSWSTEEL,11723
77,2021-04-28T00:00:00,669.75,676.0,650.65,662.65,15558949,JSWSTEEL,11723
78,2021-04-29T00:00:00,672.0,728.9,668.05,726.5,56816962,JSWSTEEL,11723
79,2021-04-30T00:00:00,719.6,740.0,711.45,717.85,36449711,JSWSTEEL,11723
80,2021-05-03T00:00:00,714.0,730.0,710.6,723.25,16906171,JSWSTEEL,11723
81,2021-05-04T00:00:00,727.95,737.5,711.25,715.4,13790054,JSWSTEEL,11723
82,2021-05-05T00:00:00,723.0,733.0,713.1,717.7,12284261,JSWSTEEL,11723
83,2021-05-06T00:00:00,721.3,742.0,718.0,729.8,18365325,JSWSTEEL,11723
84,2021-05-07T00:00:00,738.0,766.7,736.75,756.95,26586556,JSWSTEEL,11723
85,2021-05-10T00:00:00,765.9,773.0,756.05,758.65,15105182,JSWSTEEL,11723
86,2021-05-11T00:00:00,741.0,754.8,730.55,734.25,16277517,JSWSTEEL,11723
87,2021-05-12T00:00:00,740.0,741.9,700.0,707.9,14410802,JSWSTEEL,11723
88,2021-05-14T00:00:00,709.95,721.5,679.05,707.1,26344309,JSWSTEEL,11723
89,2021-05-17T00:00:00,707.9,722.4,694.05,714.4,12706884,JSWSTEEL,11723
90,2021-05-18T00:00:00,723.85,731.1,711.85,717.45,9477286,JSWSTEEL,11723
91,2021-05-19T00:00:00,713.05,720.35,704.1,705.85,6562006,JSWSTEEL,11723
92,2021-05-20T00:00:00,698.0,703.4,683.2,694.5,10104850,JSWSTEEL,11723
93,2021-05-21T00:00:00,701.35,705.9,695.0,698.2,7340528,JSWSTEEL,11723
94,2021-05-24T00:00:00,697.0,697.0,671.9,681.45,22332409,JSWSTEEL,11723
95,2021-05-25T00:00:00,689.0,714.5,688.05,700.8,22058890,JSWSTEEL,11723
96,2021-05-26T00:00:00,686.3,691.0,673.55,682.2,18721303,JSWSTEEL,11723
97,2021-05-27T00:00:00,684.9,694.35,678.0,681.85,15110958,JSWSTEEL,11723
98,2021-05-28T00:00:00,697.8,708.8,686.2,689.8,12698590,JSWSTEEL,11723
99,2021-05-31T00:00:00,694.0,714.2,685.95,710.9,11685565,JSWSTEEL,11723
100,2021-06-01T00:00:00,716.5,716.95,687.5,694.5,14156453,JSWSTEEL,11723
101,2021-06-02T00:00:00,697.0,709.05,696.55,706.05,9653111,JSWSTEEL,11723
102,2021-06-03T00:00:00,710.0,720.85,703.05,714.1,8329454,JSWSTEEL,11723
103,2021-06-04T00:00:00,708.05,726.0,703.05,721.2,9653847,JSWSTEEL,11723
104,2021-06-07T00:00:00,722.6,730.75,712.8,715.75,6872666,JSWSTEEL,11723
105,2021-06-08T00:00:00,714.3,714.3,692.0,707.5,8230750,JSWSTEEL,11723
106,2021-06-09T00:00:00,705.0,713.35,693.55,697.85,6922786,JSWSTEEL,11723
107,2021-06-10T00:00:00,701.3,719.0,700.0,705.8,8543092,JSWSTEEL,11723
108,2021-06-11T00:00:00,714.0,734.1,704.75,731.2,11372473,JSWSTEEL,11723
109,2021-06-14T00:00:00,732.65,737.2,714.65,729.15,10470356,JSWSTEEL,11723
110,2021-06-15T00:00:00,728.0,732.4,717.0,725.1,5124845,JSWSTEEL,11723
111,2021-06-16T00:00:00,720.0,728.9,703.55,705.4,9016464,JSWSTEEL,11723
112,2021-06-17T00:00:00,702.1,711.0,693.45,696.35,5639158,JSWSTEEL,11723
113,2021-06-18T00:00:00,695.5,696.4,656.1,670.6,13505600,JSWSTEEL,11723
114,2021-06-21T00:00:00,656.9,676.3,646.15,672.95,8187341,JSWSTEEL,11723
115,2021-06-22T00:00:00,676.0,682.5,673.25,675.25,5398107,JSWSTEEL,11723
116,2021-06-23T00:00:00,679.0,685.0,664.15,665.5,6059813,JSWSTEEL,11723
117,2021-06-24T00:00:00,669.6,681.5,664.9,679.0,6985183,JSWSTEEL,11723
118,2021-06-25T00:00:00,685.0,702.35,685.0,689.5,9066409,JSWSTEEL,11723
119,2021-06-28T00:00:00,692.9,701.35,682.75,695.35,5669654,JSWSTEEL,11723
120,2021-06-29T00:00:00,695.0,696.5,683.6,685.9,4377422,JSWSTEEL,11723
121,2021-06-30T00:00:00,687.05,698.0,682.65,683.9,6112824,JSWSTEEL,11723
122,2021-07-01T00:00:00,687.8,690.0,679.6,680.55,4133198,JSWSTEEL,11723
123,2021-07-02T00:00:00,681.05,682.95,667.5,671.3,5499982,JSWSTEEL,11723
124,2021-07-05T00:00:00,673.0,675.0,664.45,672.75,5427717,JSWSTEEL,11723
125,2021-07-06T00:00:00,672.75,681.7,669.45,673.15,4790854,JSWSTEEL,11723
126,2021-07-07T00:00:00,671.8,694.0,669.0,690.4,8536360,JSWSTEEL,11723
127,2021-07-08T00:00:00,688.0,691.45,666.65,668.25,7099529,JSWSTEEL,11723
128,2021-07-09T00:00:00,671.0,683.6,670.0,681.55,7814242,JSWSTEEL,11723
129,2021-07-12T00:00:00,685.0,703.75,680.85,694.45,11632489,JSWSTEEL,11723
130,2021-07-13T00:00:00,698.0,703.5,694.0,701.4,6832695,JSWSTEEL,11723
131,2021-07-14T00:00:00,704.0,705.85,694.2,700.4,5996797,JSWSTEEL,11723
132,2021-07-15T00:00:00,700.0,707.95,696.05,699.1,4735495,JSWSTEEL,11723
133,2021-07-16T00:00:00,703.5,707.0,700.7,703.6,3590287,JSWSTEEL,11723
134,2021-07-19T00:00:00,697.0,712.35,694.0,698.4,5377227,JSWSTEEL,11723
135,2021-07-20T00:00:00,697.65,698.0,675.4,682.0,5829609,JSWSTEEL,11723
136,2021-07-22T00:00:00,689.9,722.6,689.05,716.55,9472817,JSWSTEEL,11723
137,2021-07-23T00:00:00,726.9,727.0,712.0,717.55,8731309,JSWSTEEL,11723
138,2021-07-26T00:00:00,729.5,729.5,701.0,704.55,14645713,JSWSTEEL,11723
139,2021-07-27T00:00:00,709.85,717.9,703.3,710.65,6840353,JSWSTEEL,11723
140,2021-07-28T00:00:00,712.0,725.4,701.45,721.7,8329455,JSWSTEEL,11723
141,2021-07-29T00:00:00,725.5,758.1,723.05,748.4,18513875,JSWSTEEL,11723
142,2021-07-30T00:00:00,746.15,757.85,733.55,736.95,9971622,JSWSTEEL,11723
143,2021-08-02T00:00:00,741.4,751.45,733.5,746.7,6971560,JSWSTEEL,11723
144,2021-08-03T00:00:00,746.0,746.0,728.4,740.3,6939253,JSWSTEEL,11723
145,2021-08-04T00:00:00,741.0,754.0,736.4,747.25,6680733,JSWSTEEL,11723
146,2021-08-05T00:00:00,747.25,765.4,740.5,763.25,8613347,JSWSTEEL,11723
147,2021-08-06T00:00:00,767.5,776.5,755.7,757.35,8973665,JSWSTEEL,11723
148,2021-08-09T00:00:00,761.85,762.5,742.45,747.35,5119564,JSWSTEEL,11723
149,2021-08-10T00:00:00,748.9,750.0,719.6,722.15,6382357,JSWSTEEL,11723
150,2021-08-11T00:00:00,727.0,752.0,727.0,749.1,11909486,JSWSTEEL,11723
151,2021-08-12T00:00:00,753.05,754.3,741.4,748.9,3506281,JSWSTEEL,11723
152,2021-08-13T00:00:00,746.9,757.55,732.4,749.05,5611264,JSWSTEEL,11723
153,2021-08-16T00:00:00,745.0,770.6,739.2,761.65,9095337,JSWSTEEL,11723
154,2021-08-17T00:00:00,758.6,762.45,735.85,744.25,6482187,JSWSTEEL,11723
155,2021-08-18T00:00:00,748.0,748.9,732.9,737.45,5905871,JSWSTEEL,11723
156,2021-08-20T00:00:00,722.0,722.0,681.5,684.6,13126219,JSWSTEEL,11723
157,2021-08-23T00:00:00,696.0,700.7,664.0,684.2,11781361,JSWSTEEL,11723
158,2021-08-24T00:00:00,690.1,697.0,683.0,691.65,8283854,JSWSTEEL,11723
159,2021-08-25T00:00:00,696.0,701.0,680.0,683.85,5539409,JSWSTEEL,11723
160,2021-08-26T00:00:00,683.0,685.0,669.3,672.0,5659963,JSWSTEEL,11723
161,2021-08-27T00:00:00,672.9,681.4,671.75,677.5,4978277,JSWSTEEL,11723
162,2021-08-30T00:00:00,683.05,694.0,683.05,686.55,5891576,JSWSTEEL,11723
163,2021-08-31T00:00:00,688.25,692.45,680.45,687.6,5399215,JSWSTEEL,11723
164,2021-09-01T00:00:00,688.0,689.0,675.0,676.65,4316801,JSWSTEEL,11723
165,2021-09-02T00:00:00,681.05,689.0,678.0,685.05,3635439,JSWSTEEL,11723
166,2021-09-03T00:00:00,686.1,695.25,682.4,690.9,4145359,JSWSTEEL,11723
167,2021-09-06T00:00:00,697.0,697.0,681.6,686.65,5179490,JSWSTEEL,11723
